Stock_Code,Quarter_Date,Gross Profit,Cost Of Revenue,Total Revenue,Net Income,close_date,Price,Company Name,GICS Sector,GICS Sub Industry,Founded,State,Province
ABBV,6/30/2023,9625000000,4240000000,13865000000,2024000000,3/12/2024,180.9199982,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,6/30/2023,9625000000,4240000000,13865000000,2024000000,3/13/2024,179.8600006,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,6/30/2023,9625000000,4240000000,13865000000,2024000000,3/14/2024,181.1999969,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,6/30/2023,9625000000,4240000000,13865000000,2024000000,3/15/2024,177.8800049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,3/31/2023,8239000000,3986000000,12225000000,239000000,3/11/2024,179.6300049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,3/31/2023,8239000000,3986000000,12225000000,239000000,3/12/2024,180.9199982,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,3/31/2023,8239000000,3986000000,12225000000,239000000,3/13/2024,179.8600006,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,3/31/2023,8239000000,3986000000,12225000000,239000000,3/14/2024,181.1999969,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,3/31/2023,8239000000,3986000000,12225000000,239000000,3/15/2024,177.8800049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,12/31/2022,10951000000,4170000000,15121000000,2473000000,3/11/2024,179.6300049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,12/31/2022,10951000000,4170000000,15121000000,2473000000,3/12/2024,180.9199982,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,12/31/2022,10951000000,4170000000,15121000000,2473000000,3/13/2024,179.8600006,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,12/31/2022,10951000000,4170000000,15121000000,2473000000,3/14/2024,181.1999969,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,12/31/2022,10951000000,4170000000,15121000000,2473000000,3/15/2024,177.8800049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ACN,11/30/2023,5447941000,10776362000,16224303000,1973444000,3/11/2024,373.2200012,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,11/30/2023,5447941000,10776362000,16224303000,1973444000,3/12/2024,380.480011,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
ACN,11/30/2023,5447941000,10776362000,16224303000,1973444000,3/13/2024,378.7200012,Accenture,Information Technology,IT Consulting & Other Services,1989,Ireland,Dublin
